sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,510,Egipto,Calle Norte 79 A,Claveria,Azcapotzalco,19.462152,-99.178291,Arroyo,Instalada
Ecobici,511,Palestina,Egipto,Claveria,Azcapotzalco,19.463865,-99.18229,Arroyo,Instalada
Ecobici,512,Avenida Claveria,Floresta,Claveria,Azcapotzalco,19.465636,-99.186342,Arroyo,Instalada
Ecobici,516,Texcoco,Nilo,Claveria,Azcapotzalco,19.46669,-99.180302,Arroyo,Instalada
Ecobici,517,Ignacio Allende,Avenida Claveria,Claveria,Azcapotzalco,19.465377,-99.179197,Arroyo,Instalada
Ecobici,518,Avenida Heliopolis,Norte 79A,Claveria,Azcapotzalco,19.468315,-99.177386,Arroyo,Instalada
Ecobici,258,Circuito Interior,Juan Escutia,Condesa,Cuauhtemoc,19.4165298,-99.1790435,Banqueta,Instalada
Ecobici,447,Agustin Melgar,Zamora,Condesa,Cuauhtemoc,19.418879,-99.176854,Arroyo,Instalada
Ecobici,49,Mazatlan,Juan de la Barrera,Condesa,Cuauhtemoc,19.41689,-99.17562,Banqueta,Instalada
Ecobici,50,Cuernavaca,Veracruz,Condesa,Cuauhtemoc,19.416886,-99.173591,Arroyo,Instalada
Ecobici,53,Fernando Montes de Oca,Tula,Condesa,Cuauhtemoc,19.4148233,-99.1783527,Arroyo,Instalada
Ecobici,54,Parque Espa<f1>a,Sonora,Condesa,Cuauhtemoc,19.416163,-99.170795,Arroyo,Instalada
Ecobici,57,Cuernavaca,Juan Escutia,Condesa,Cuauhtemoc,19.414968,-99.174766,Arroyo,Instalada
Ecobici,58,Parque Espa<f1>a,Juan de la Barrera,Condesa,Cuauhtemoc,19.415358,-99.171902,Banqueta,Instalada
Ecobici,60,Mazatlan,Fernando Montes de Oca,Condesa,Cuauhtemoc,19.414119,-99.177214,Banqueta,Instalada
Ecobici,62,Fernando Montes de Oca,Amatlan,Condesa,Cuauhtemoc,19.413314,-99.175225,Arroyo,Instalada
Ecobici,66,Mazatlan,Francisco Marquez,Condesa,Cuauhtemoc,19.411825,-99.178456,Banqueta,Instalada
Ecobici,67,Vicente Suarez,Michoacan,Condesa,Cuauhtemoc,19.411703,-99.175753,Arroyo,Instalada
Ecobici,68,Tamaulipas,Michoacan,Condesa,Cuauhtemoc,19.411771,-99.173783,Banqueta,Instalada
Ecobici,667,Hermes,Mosqueta,Credito Constructor,Benito Juarez,19.3639778,-99.18091389,Arroyo,Instalada
