num_cicloe,nombre_estacion,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e
122,José María Vértiz_Av. Dr. Río De La Loza,José María Vértiz,Av. Dr. Río De La Loza,Doctores,Cuauhtemoc,19.425502,-99.146337,Arroyo
123,Claudio Bernard_Dr. Lavista,Claudio Bernard,Dr. Lavista,Doctores,Cuauhtemoc,19.424161,-99.153117,Arroyo
124,Claudio Bernard_Dr. Liceaga,Claudio Bernard,Dr. Liceaga,Doctores,Cuauhtemoc,19.422392,-99.150358,Arroyo
125,Morelia_Circular De Morelia,Morelia,Circular De Morelia,Roma Norte,Cuauhtemoc,19.424197,-99.156127,Arroyo
126,Jalapa_Puebla,Jalapa,Puebla,Roma Norte,Cuauhtemoc,19.422288,-99.162138,Arroyo
127,Puebla_Merida,Puebla,Merida,Roma Norte,Cuauhtemoc,19.423318,-99.15833,Arroyo
128,Orizaba_Río De Janeiro,Orizaba,Río De Janeiro,Roma Norte,Cuauhtemoc,19.422148,-99.160645,Arroyo
129,Tonalá_Durango,Tonalá,Durango,Roma Norte,Cuauhtemoc,19.4206,-99.163312,Arroyo
130,Mérida_Durango,Mérida,Durango,Roma Norte,Cuauhtemoc,19.421576,-99.158015,Arroyo
131,Colima_Jalapa,Colima,Jalapa,Roma Norte,Cuauhtemoc,19.419579,-99.161314,Arroyo
132,Colima_Frontera,Colima,Frontera,Roma Norte,Cuauhtemoc,19.420667,-99.15645,Arroyo
133,Colima_Morelia,Colima,Morelia,Roma Norte,Cuauhtemoc,19.421138,-99.154725,Arroyo
134,Álvaro Obregón_Orizaba,Álvaro Obregón,Orizaba,Roma Norte,Cuauhtemoc,19.418304,-99.15956,Camell<F3>N
135,Álvaro Obregón_Morelia,Álvaro Obregón,Morelia,Roma Norte,Cuauhtemoc,19.419225,-99.155099,Camell<F3>N
136,Álvaro Obregón_Tonalá,Álvaro Obregón,Tonalá,Roma Norte,Cuauhtemoc,19.417715,-99.162729,Camell<F3>N
137,Álvaro Obregón_Mérida,Álvaro Obregón,Mérida,Roma Norte,Cuauhtemoc,19.418774,-99.157081,Camell<F3>N
138,Guanajuato_Frontera,Guanajuato,Frontera,Roma Norte,Cuauhtemoc,19.417702,-99.155313,Arroyo
139,Tonalá_Guanajuato,Tonalá,Guanajuato,Roma Norte,Cuauhtemoc,19.416128,-99.162097,Arroyo
140,Mérida_Zacatecas,Mérida,Zacatecas,Roma Norte,Cuauhtemoc,19.416596,-99.156879,Arroyo
141,Zacatecas_Luis Cabrera,Zacatecas,Luis Cabrera,Roma Norte,Cuauhtemoc,19.415905,-99.15954,Arroyo
142,San Luis Potosí_Eje 2 Pte. Monterrey,San Luis Potosí,Eje 2 Pte. Monterrey,Roma Norte,Cuauhtemoc,19.413232,-99.164121,Arroyo
143,Córdoba_San Luis Potosí,Córdoba,San Luis Potosí,Roma Norte,Cuauhtemoc,19.414303,-99.157542,Arroyo
144,Frontera_San Luis Potosí,Frontera,San Luis Potosí,Roma Norte,Cuauhtemoc,19.415192,-99.154837,Arroyo
145,Yucatán_Chiapas,Yucatán,Chiapas,Roma Norte,Cuauhtemoc,19.41286,-99.160661,Arroyo
146,Coahuila_Manzanillo,Coahuila,Manzanillo,Roma Norte,Cuauhtemoc,19.410737,-99.165716,Arroyo
147,Coahuila_Orizaba,Coahuila,Orizaba,Roma Norte,Cuauhtemoc,19.412182,-99.158443,Arroyo
148,Coahuila_Av. Cuauhtémoc,Coahuila,Av. Cuauhtémoc,Roma Norte,Cuauhtemoc,19.412829,-99.155116,Arroyo
149,Mérida_Antonio M. Anza,Mérida,Antonio M. Anza,Roma Sur,Cuauhtemoc,19.41199,-99.155699,Arroyo
150,Campeche_Medellín,Campeche,Medellín,Roma Sur,Cuauhtemoc,19.409894,-99.164288,Arroyo
151,Campeche_Tonalá,Campeche,Tonalá,Roma Sur,Cuauhtemoc,19.410529,-99.160873,Arroyo
152,Tlacotalpan_Campeche,Tlacotalpan,Campeche,Roma Sur,Cuauhtemoc,19.409098,-99.167181,Arroyo
153,Manzanillo_Tlaxcala,Manzanillo,Tlaxcala,Roma Sur,Cuauhtemoc,19.407468,-99.165141,Arroyo
154,Tuxpan_Tlaxcala,Tuxpan,Tlaxcala,Roma Sur,Cuauhtemoc,19.406683,-99.167962,Arroyo
155,Jalapa_Tlaxcala,Jalapa,Tlaxcala,Roma Sur,Cuauhtemoc,19.408218,-99.159911,Arroyo
156,Tepic_Ario,Tepic,Ario,Roma Sur,Cuauhtemoc,19.406959,-99.163021,Arroyo
157,Tepic_Tlacotalpan,Tepic,Tlacotalpan,Roma Sur,Cuauhtemoc,19.406236,-99.166616,Arroyo
158-159,Huatabampo_Eje 1 Pte. Av. Cuauhtémoc,Huatabampo,Eje 1 Pte. Av. Cuauhtémoc,Roma Sur,Cuauhtemoc,19.407507,-99.155541,Arroyo
160,Alfonso Herrera_Gabino Barreda,Alfonso Herrera,Gabino Barreda,San Rafael,Cuauhtemoc,19.440252,-99.163455,Arroyo
161,Quintana Roo_Manzanillo,Quintana Roo,Manzanillo,Roma Sur,Cuauhtemoc,19.405533,-99.164913,Arroyo
162,Tehuantepec_Medellín,Tehuantepec,Medellín,Roma Sur,Cuauhtemoc,19.404907,-99.162485,Arroyo
163,Toluca_Bajío,Toluca,Bajío,Roma Sur,Cuauhtemoc,19.405246,-99.15643,Arroyo
164,Bajío_Tlacotalpan,Bajío,Tlacotalpan,Roma Sur,Cuauhtemoc,19.403204,-99.16596,Arroyo
165,Bajío_Eje 2 Pte. Monterrey,Bajío,Eje 2 Pte. Monterrey,Roma Sur,Cuauhtemoc,19.404268,-99.160503,Arroyo
166,Progreso_Cda. Antonio Maceo,Progreso,Cda. Antonio Maceo,Escandon,Miguel Hidalgo,19.406069,-99.183549,Arroyo
167,General Salvador Alvarado_Progreso,General Salvador Alvarado,Progreso,Escandon,Miguel Hidalgo,19.404651,-99.179375,Arroyo
168,Comercio_Progreso,Comercio,Progreso,Escandon,Miguel Hidalgo,19.403997,-99.1776,Arroyo
169,Prosperidad_Progreso,Prosperidad,Progreso,Escandon,Miguel Hidalgo,19.403019,-99.174934,Arroyo
170,Observatorio Oriente_Revolución,Observatorio Oriente,Revolución,Escandon,Miguel Hidalgo,19.404029,-99.184342,Arroyo
171,Comercio_Jose Martí,Comercio,Jose Martí,Escandon,Miguel Hidalgo,19.4025195,-99.1781595,Arroyo
172,General Francisco Murguía_José Martí,General Francisco Murguía,José Martí,Escandon,Miguel Hidalgo,19.4034757,-99.1817166,Arroyo
173,Minería_José Martí,Minería,José Martí,Escandon,Miguel Hidalgo,19.401682,-99.176398,Arroyo
174,Joaquín Garcia Icazbalceta_Ignacio Manuel Altamirano,Joaquín Garcia Icazbalceta,Ignacio Manuel Altamirano,San Rafael,Cuauhtemoc,19.441114,-99.161636,Arroyo
175,Mutualismo_José Martí,Mutualismo,José Martí,Escandon,Miguel Hidalgo,19.400767,-99.172533,Arroyo
176,Av. Jesús García_Luis Donaldo Colosio,Av. Jesús García,Luis Donaldo Colosio,Buenavista,Cuauhtemoc,19.442717,-99.152262,Arroyo
177,Benjamín Hill_Carlos Zetina,Benjamín Hill,Carlos Zetina,Hipodromo Condesa,Cuauhtemoc,19.408841,-99.181692,Arroyo
178,Tamaulipas_Francisco Murguía,Tamaulipas,Francisco Murguía,Hipodromo Condesa,Cuauhtemoc,19.406833,-99.180457,Arroyo
179,Nuevo León_Quintana Roo,Nuevo León,Quintana Roo,Hipodromo,Cuauhtemoc,19.404452,-99.171438,Camell<F3>N
180,Quintana Roo_Villahermosa,Quintana Roo,Villahermosa,Hipodromo,Cuauhtemoc,19.404554,-99.169953,Arroyo
181,Benjamín Franklin_Ometusco,Benjamín Franklin,Ometusco,Hipodromo,Cuauhtemoc,19.404733,-99.174461,Arroyo
182,Progreso_Astrónomos,Progreso,Astrónomos,Escandon,Miguel Hidalgo,19.40198,-99.17132,Arroyo
183,Gabino Barreda_Guillermo Prieto,Gabino Barreda,Guillermo Prieto,San Rafael,Cuauhtemoc,19.437665,-99.164018,Arroyo
184,General Gómez Pedraza_Gobernador Tiburcio Montiel,General Gómez Pedraza,Gobernador Tiburcio Montiel,San Miguel Chapultepec,Miguel Hidalgo,19.414793,-99.185083,Arroyo
185,General Antonio Léon_General Pedro Antonio De Los Santos,General Antonio Léon,General Pedro Antonio De Los Santos,San Miguel Chapultepec,Miguel Hidalgo,19.412776,-99.182805,Arroyo
186,Gob. Gregorio V. Gelati_Gral. Francisco Molinos Del Campo,Gob. Gregorio V. Gelati,Gral. Francisco Molinos Del Campo,San Miguel Chapultepec,Miguel Hidalgo,19.412455,-99.188489,Arroyo
187,General Cano_Gobernador Gregorio V. Gelati,General Cano,Gobernador Gregorio V. Gelati,San Miguel Chapultepec,Miguel Hidalgo,19.411227,-99.185514,Arroyo
188,Gobernador Melchor Múzquiz_Gobernador Ignacio Esteva,Gobernador Melchor Múzquiz,Gobernador Ignacio Esteva,San Miguel Chapultepec,Miguel Hidalgo,19.411711,-99.190139,Arroyo
189,Gobernador Rafael Rebollar_Gobernador José Ceballos,Gobernador Rafael Rebollar,Gobernador José Ceballos,San Miguel Chapultepec,Miguel Hidalgo,19.410036,-99.187978,Arroyo
190,Gobernador Ignacio Esteva_Maestro José Vasconcelos,Gobernador Ignacio Esteva,Maestro José Vasconcelos,San Miguel Chapultepec,Miguel Hidalgo,19.409577,-99.183818,Arroyo
