Prefix,num_cicloe,calle_prin,calle_secu
CE,251,GOETHE,DARWIN
CE,252,VÍCTOR HUGO,SHAKESPEARE
CE,253,DANTE,TOLSTOI
CE,254,ALFONSO HERRERA,MIGUEL SHULTZ
CE,255,JOSÉ ROSAS MORENO,GUILLERMO PRIETO
CE,256,GÓMEZ FARÍAS,SADI CARNOT
CE,257,MANUEL MARIA CONTRERAS,VILLALONGIN
CE,258,CIRCUITO INTERIOR,JUAN ESCUTIA
CE,259,TÓMAS ALVA EDISON,PONCIANO ARRIAGA
CE,260,AV. JUÁREZ,BALDERAS
CE,261,PASEO DE LA REFORMA,RÍO DE LA PLATA
CE,262,REPÚBLICA DE CUBA,REPÚBLICA DE BRASIL
CE,263,SADI CARNOT,GÓMEZ FARIAS
CE,264-275,HÉROES FERROCARRILEROS,JESÚS GARCIA
CE,265,MINA,JESÚS GARCÍA
CE,266-267,JESÚS GARCÍA,CARLOS J. MENESES
CE,268-269,LUIS DONALDO COLOSIO,AV. JESÚS GARCÍA
CE,270,DE LA REPÚBLICA,PONCIANO ARRIAGA
CE,271-272,JESÚS GARCÍA,CARLOS J. MENESES
CE,273-274,LUIS DONALDO COLOSIO,AV. JESÚS GARCÍA
CE,276,ANAXÁGORAS,OBRERO MUNDIAL
CE,277,PROLONGACIÓN TONALÁ,OBRERO MUNDIAL
CE,278,MIER Y PESADO,OBRERO MUNDIAL
CE,279,LA MORENA,PROVIDENCIA
CE,280,ANAXÁGORAS,OBRERO MUNDIAL
CE,281,PITÁGORAS,LA MORENA
CE,282,LA MORENA,EJE 2 PONIENTE GABRIEL MANCERA
CE,283,AV. COYOACÁN,RAFAEL DONDÉ
CE,284,DAKOTA,VERMONT
CE,285,12 DE OCTUBRE,MINERÍA
CE,286,13 DE SEPTIEMBRE,AVENIDA PATRIOTISMO
CE,287,13 DE SEPTIEMBRE,PUENTE DE LA MORENA
CE,288,11 DE ABRIL,AVENIDA 2
CE,290,YOSEMITE,COLORADO
CE,291,MAGDALENA,DIVISIÓN DEL NORTE
CE,292,ADOLFO PRIETO,EJE 4 SUR XOLA
CE,293,MIER Y PESADO,EJE 4 SUR XOLA
CE,294,NICOLÁS SAN JUAN,EJE 4 SUR XOLA
CE,295,ANAXÁGORAS,EJE 4 SUR XOLA
CE,296,DIAGONAL SAN ANTONIO,ENRIQUE RÉBSAMEN
CE,297,DIAGONAL SAN ANTONIO,ENRIQUE RÉBSAMEN
CE,298,ROMERO DE TERREROS,GABRIEL MANCERA
CE,299,ROMERO DE TERREROS,MIER Y PESADO
CE,300,PROVIDENCIA,LUZ SAVIÑÓN
CE,301,LUZ SAVIÑÓN,MAGDALENA
CE,302,LUZ SAVIÑÓN,MAGDALENA
CE,303,MONTECITO,AV. INSURGENTES
CE,304,MONTECITO,DAKOTA
CE,305,AVENIDA DEL PARQUE,ARIZONA
CE,306,DAKOTA,MINNESOTA
CE,307,MINNESOTA,DAKOTA
CE,308,NUEVA YORK,ARIZONA
CE,309,PENSILVANIA,ARIZONA
CE,310,CALLE 1,AV. PATRIOTISMO
CE,312,AVENIDA 2,CALLE 7
CE,313,PENSILVANIA,OKLAHOMA
CE,314,NUEVA YORK,LOUISIANA
CE,315,ALABAMA,MONTANA
CE,316,SAN FRANCISCO,CONCEPCIÓN BEISTEGUI
CE,317,AVENIDA COYOACÁN,TORRES ADALID
CE,318,LUZ SAVIÑÓN,AMORES
CE,319,DIAGONAL SAN ANTONIO,LUZ SAVIÑÓN
CE,320,ENRIQUE RÉBSAMEN,LUZ SAVIÑÓN
CE,321,TORRES ADALID,ANAXÁGORAS
CE,322,HERIBERTO FRÍAS,CONCEPCIÓN BEISTEGUI
CE,323,CONCEPCIÓN BEISTEGUI,GABRIEL MANCERA
CE,324,AMORES,AVENIDA EUGENIA
CE,325,PROVIDENCIA,AVENIDA DEL VALLE
CE,326,EUGENIA,NEBRASKA
CE,327,GEORGIA,PENSILVANIA
CE,328,AVENIDA 1,CALLE 7
CE,329,CALLE 13,AVENIDA 1
CE,330,CALLE 15,AVENIDA PATRIOTISMO
CE,331,AVENIDA 2,CALLE 17
CE,332,CALLE 27,AVENIDA 3
CE,333,GEORGIA,CAROLINA
CE,334,NUEVA YORK,AV. INSURGENTES
CE,335,MAGDALENA,AMEYALCO
CE,336,SAN BORJA,CDA. DR. J. BARTOLACHE
CE,337,SAN BORJA,MARTÍN MENDALDE
CE,338,NICOLÁS SAN JUAN,SAN BORJA
CE,339,ENRIQUE RÉBSAMEN,AVENIDA EUGENIA
CE,340,ANAXÁGORAS,AVENIDA EUGENIA
CE,341,SAN BORJA,AVENIDA CUAUHTÉMOC
CE,342,PITÁGORAS,AV. DIVISIÓN DEL NORTE
CE,343,ENRIQUE RÉBSAMEN,DIVISIÓN DEL NORTE
CE,345,PATRICIO SANZ,MIRAFLORES
CE,346,SAN FRANCISCO,SANTA MARGARITA
CE,347,PENSILVANIA,MAXIMINO AVILA CAMACHO
