Prefix,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ce,105,San Jerónimo,5 De Febrero,Centro,Cuauhtemoc,19.426755,-99.135014,Arroyo,Instalada
Ce,106,San Jerónimo,José María Pino Suarez,Centro,Cuauhtemoc,19.42649,-99.133537,Banqueta,Instalada
Ce,107-108,Tolsa,Balderas,Centro,Cuauhtemoc,19.427329,-99.149971,Arroyo,Instalada
Ce,109,Nezahualcóyotl,Isabel La Católica,Centro,Cuauhtemoc,19.425311,-99.137421,Arroyo,Instalada
Ce,110,Dr. Valenzuela,Dr. Río De La Loza,Doctores,Cuauhtemoc,19.425126,-99.143391,Arroyo,Instalada
Ce,111,Guillermo Prieto,Joaquín Velázquez De León,San Rafael,Cuauhtemoc,19.438197,-99.165918,Arroyo,Instalada
Ce,112,Av. Morelos,Abraham González,Juarez,Cuauhtemoc,19.432819,-99.151734,Banqueta,Instalada
Ce,113,General Prim,Versalles,Juarez,Cuauhtemoc,19.430369,-99.154419,Arroyo,Instalada
Ce,114,Lucerna,Abraham González,Juarez,Cuauhtemoc,19.428989,-99.153618,Arroyo,Instalada
Ce,115,Roma,Dinamarca,Juarez,Cuauhtemoc,19.429947,-99.159698,Arroyo,Instalada
Ce,116,Londres,Roma,Juarez,Cuauhtemoc,19.428985,-99.15664,Arroyo,Instalada
Ce,117,Londres,Nápoles,Juarez,Cuauhtemoc,19.427132,-99.160369,Arroyo,Instalada
Ce,118,Liverpool,Dinamarca,Juarez,Cuauhtemoc,19.427114,-99.158251,Arroyo,Instalada
Ce,119,Turín,Abraham González,Juarez,Cuauhtemoc,19.426785,-99.155535,Arroyo,Instalada
Ce,120,Marsella,Nápoles,Juarez,Cuauhtemoc,19.425437,-99.159458,Arroyo,Instalada
Ce,121,Niza,Chapultepec,Juarez,Cuauhtemoc,19.424137,-99.161317,Arroyo,Instalada
Ce,122,José María Vértiz,Av. Dr. Río De La Loza,Doctores,Cuauhtemoc,19.425502,-99.146337,Arroyo,Instalada
Ce,123,Claudio Bernard,Dr. Lavista,Doctores,Cuauhtemoc,19.424161,-99.153117,Arroyo,Instalada
Ce,124,Claudio Bernard,Dr. Liceaga,Doctores,Cuauhtemoc,19.422392,-99.150358,Arroyo,Instalada
Ce,125,Morelia,Circular De Morelia,Roma Norte,Cuauhtemoc,19.424197,-99.156127,Arroyo,Instalada
Ce,126,Jalapa,Puebla,Roma Norte,Cuauhtemoc,19.422288,-99.162138,Arroyo,Instalada
Ce,127,Puebla,Merida,Roma Norte,Cuauhtemoc,19.423318,-99.15833,Arroyo,Instalada
Ce,128,Orizaba,Río De Janeiro,Roma Norte,Cuauhtemoc,19.422148,-99.160645,Arroyo,Instalada
Ce,129,Tonalá,Durango,Roma Norte,Cuauhtemoc,19.4206,-99.163312,Arroyo,Instalada
Ce,130,Mérida,Durango,Roma Norte,Cuauhtemoc,19.421576,-99.158015,Arroyo,Instalada
Ce,131,Colima,Jalapa,Roma Norte,Cuauhtemoc,19.419579,-99.161314,Arroyo,Instalada
Ce,132,Colima,Frontera,Roma Norte,Cuauhtemoc,19.420667,-99.15645,Arroyo,Instalada
Ce,133,Colima,Morelia,Roma Norte,Cuauhtemoc,19.421138,-99.154725,Arroyo,Instalada
Ce,134,Álvaro Obregón,Orizaba,Roma Norte,Cuauhtemoc,19.418304,-99.15956,Camell<F3>N,Instalada
Ce,135,Álvaro Obregón,Morelia,Roma Norte,Cuauhtemoc,19.419225,-99.155099,Camell<F3>N,Instalada
Ce,136,Álvaro Obregón,Tonalá,Roma Norte,Cuauhtemoc,19.417715,-99.162729,Camell<F3>N,Instalada
Ce,137,Álvaro Obregón,Mérida,Roma Norte,Cuauhtemoc,19.418774,-99.157081,Camell<F3>N,Instalada
Ce,138,Guanajuato,Frontera,Roma Norte,Cuauhtemoc,19.417702,-99.155313,Arroyo,Instalada
